Topic,Count,Name,Representation,Representative_Docs
178,47,178_troubled_disperses_resort_drops,"['troubled', 'disperses', 'resort', 'drops', 'far', 'them', 'stranded', 'mexico', 'left', 'border']","['Mexico drops migrants in troubled resort as it disperses them far from US border', 'Mexico drops migrants in troubled resort as it disperses them far from US border', 'Mexico drops migrants in troubled resort as it disperses them far from US border']"
179,47,179_reignite_wider_create_escalation,"['reignite', 'wider', 'create', 'escalation', 'threatens', 'yemen', 'civil', 'tensions', 'widen', 'gulf']","['Escalation in Yemen threatens to reignite civil war and create wider tensions', 'Escalation in Yemen threatens to reignite civil war and create wider tensions', 'Escalation in Yemen threatens to reignite civil war and create wider tensions']"
180,47,180_represents_enlargement_blowout_equal,"['represents', 'enlargement', 'blowout', 'equal', 'unfolded', 'minerals', 'quick', 'breakthrough', 'reaching', 'oval']","['Zelenskyy says minerals deal with US represents equal partnership', 'Zelenskyy says minerals deal with US represents equal partnership', 'Zelenskyy says minerals deal with US represents equal partnership']"
181,47,181_delays_350b_assures_summons,"['delays', '350b', 'assures', 'summons', 'pause', 'confrontation', 'freezes', 'ukrainians', 'providing', 'wake']","['Fact Check : Trump falsely claimed US spent $350B on military aid to Ukraine', 'Fact Check : Trump falsely claimed US spent $350B on military aid to Ukraine', 'Fact Check : Trump falsely claimed US spent $350B on military aid to Ukraine']"
182,47,182_reclayed_platypus_3dm_18,"['reclayed', 'platypus', '3dm', '18', '40', '24', '2024', '', '', '']","['العراق يعرض 18 مبادرة للتعاون أمام القمة العربية ويتبرع ب 40 مليون دولار لغزة ولبنان', 'العراق يعرض 18 مبادرة للتعاون أمام القمة العربية ويتبرع ب 40 مليون دولار لغزة ولبنان', 'Platypus Reclayed官方版 - Platypus Reclayed官网版下载安装 _ 3DM单机']"
183,46,183_tourists_gunmen_kashmir_police,"['tourists', 'gunmen', 'kashmir', 'police', 'controlled', 'resort', 'indian', '20', 'kill', 'least']","['Indian police say gunmen kill at least 20 tourists in Kashmir', 'Indian police say gunmen kill at least 20 tourists in Kashmir', 'Indian police say gunmen kill at least 20 tourists in Kashmir']"
184,46,184_concesiones_duradero_ucrania_dialogar,"['concesiones', 'duradero', 'ucrania', 'dialogar', 'presiona', 'enviado', 'vicepresidente', 'significativas', 'afirma', 'submarinos']","['Vicepresidente de EEUU afirma que Rusia hizo concesiones significativas a Trump sobre Ucrania', 'Vicepresidente de EEUU afirma que Rusia hizo concesiones significativas a Trump sobre Ucrania', 'Vicepresidente de EEUU afirma que Rusia hizo concesiones significativas a Trump sobre Ucrania']"
185,46,185_defeating_fully_challenge_highlight,"['defeating', 'fully', 'challenge', 'highlight', 'terror', 'killing', 'groups', 'american', 'troops', 'syria']","['Killing of American troops in Syria highlight challenge of fully defeating terror groups', 'Killing of American troops in Syria highlight challenge of fully defeating terror groups', 'Killing of American troops in Syria highlight challenge of fully defeating terror groups']"
186,46,186_farage_nigel_reform_riots,"['farage', 'nigel', 'reform', 'riots', 'labour', 'mass', 'repeal', 'sweep', 'unveils', 'britain']","['Nigel Farage says Reform WILL deport Afghan women back to the Taliban', 'Nigel Farage says Reform WILL deport Afghan women back to the Taliban', 'Nigel Farage plan to deport hundreds of thousands of legal migrants']"
187,46,187_israelis_bus_carrying_occupied,"['israelis', 'bus', 'carrying', 'occupied', 'shooting', 'bank', 'kills', 'west', 'fatally', 'transporting']","['Shooting attack on a bus carrying Israelis in the occupied West Bank kills 3', 'Shooting attack on a bus carrying Israelis in the occupied West Bank kills 3', 'Shooting attack on a bus carrying Israelis in the occupied West Bank kills 3']"
188,46,188_criticises_hostile_korea_kim,"['criticises', 'hostile', 'korea', 'kim', 'monitoring', 'north', 'japan', 'partnership', 'south', 'group']","['North Korea Kim criticises US - South Korea - Japan partnership', 'North Korea Kim criticises US - South Korea - Japan partnership', 'North Korea Kim criticises US - South Korea - Japan partnership']"
189,45,189_jaishankar_eam_wishes_multilateralism,"['jaishankar', 'eam', 'wishes', 'multilateralism', 'discusses', 'takht', 'ravanchi', 'counterparts', 'meets', 'sidelines']","['EAM Jaishankar joins EU Foreign Ministers in New York , discusses multilateralism , Ukraine , Gaza', 'EAM Jaishankar joins EU Foreign Ministers in New York , discusses multilateralism , Ukraine , Gaza', 'EAM Jaishankar joins EU Foreign Ministers in New York , discusses multilateralism , Ukraine , Gaza']"
190,45,190_desak_ke_bantuan_dunia,"['desak', 'ke', 'bantuan', 'dunia', 'perang', 'perjanjian', 'jurnalis', 'menolak', 'kembali', 'saat']","['ICRC desak Israel - Hamas capai perjanjian benarkan bantuan masuk ke Gaza', 'ICRC desak Israel - Hamas capai perjanjian benarkan bantuan masuk ke Gaza', 'ICRC desak Israel - Hamas capai perjanjian benarkan bantuan masuk ke Gaza']"
191,45,191_sick_park_wounded_prisoners,"['sick', 'park', 'wounded', 'prisoners', 'compares', 'mercenary', 'bristles', 'kids', 'exchange', 'sentences']","['Russia and Ukraine exchange sick and wounded prisoners of war', 'Russia and Ukraine exchange sick and wounded prisoners of war', 'Russia and Ukraine exchange sick and wounded prisoners of war']"
192,45,192_klfld_az_index_ukrn,"['klfld', 'az', 'index', 'ukrn', 'oroszorszg', 'orosz', 'bke', 'ukrajnban', 'nem', 'szerint']","['Index - Külföld - Három út , egy kihívás : svéd , norvég és dán válaszok az ukrán menekültkérdésre', 'Index - Külföld - Oroszország háborúja Ukrajnában – az Index pénteki hírösszefoglalója', 'Index - Külföld - Oroszország háborúja Ukrajnában – az Index pénteki hírösszefoglalója']"
193,45,193_himself_usaid_shut_contracts,"['himself', 'usaid', 'shut', 'contracts', 'canceled', 'programs', 'happened', 'down', 'weekend', 'gift']","['What is USAID ? Can Trump shut down USAID by himself ? ', 'What is USAID ? Can Trump shut down USAID by himself ? ', 'What is USAID ? Can Trump shut down USAID by himself ? ']"
194,45,194_troop_ammunition_working_keir,"['troop', 'ammunition', 'working', 'keir', 'starmer', 'deployment', 'strongest', 'aiding', 'reassurance', 'generation']","['UK , France Working With Ukraine On Plan To End Fighting With Russia : Keir Starmer', 'UK , France Working With Ukraine On Plan To End Fighting With Russia : Keir Starmer', 'UK , France Working With Ukraine On Plan To End Fighting With Russia : Keir Starmer']"
195,45,195_beirut_ended_reminder_vowing,"['beirut', 'ended', 'reminder', 'vowing', 'riddled', 'bullet', 'hezbollah', 'time', 'severe', 'intensify']","['Israel strikes Beirut for the first time since a ceasefire ended the latest Israel - Hezbollah war', 'Israel strikes Beirut for the first time since a ceasefire ended the latest Israel - Hezbollah war', 'Israel strikes Beirut for the first time since a ceasefire ended the latest Israel - Hezbollah war']"
196,45,196_humanitria_ajuda_crianas_eua,"['humanitria', 'ajuda', 'crianas', 'eua', 'em', 'diz', 'resgatar', 'cruzam', 'egpcia', 'rumo']","['Reino Unido anuncia plano de ajuda humanitária e retirada de crianças de Gaza', 'Israel apoia plano dos EUA para concentrar ajuda humanitária em Gaza em fundao privada , diz chanceler', 'Israel apoia plano dos EUA para concentrar ajuda humanitária em Gaza em fundao privada , diz chanceler']"
197,45,197_doha_qatar_gross_violation,"['doha', 'qatar', 'gross', 'violation', 'condemns', 'aggressions', 'underscores', 'emir', 'occupation', 'condemn']","['OIC Secretary - General at the Arab - Islamic Summit in Doha : The Israeli Aggression against Qatar Is an Extension of the Occupation Crimes against Palestine ; We Call for Israel to be held Accountable and for an End to Its Dangerous Aggressions', 'OIC Secretary - General at the Arab - Islamic Summit in Doha : The Israeli Aggression against Qatar Is an Extension of the Occupation Crimes against Palestine ; We Call for Israel to be held Accountable and for an End to Its Dangerous Aggressions', 'OIC Secretary - General at the Arab - Islamic Summit in Doha : The Israeli Aggression against Qatar Is an Extension of the Occupation Crimes against Palestine ; We Call for Israel to be held Accountable and for an End to Its Dangerous Aggressions']"
198,45,198_biblical_scenarios_architecture_penny,"['biblical', 'scenarios', 'architecture', 'penny', 'khamenei', 'iran', 'documentaries', 'defensive', 'slotkin', 'globalists']","['Two biblical signs the world has entered the end of days as US bombs Iran', 'Two biblical signs the world has entered the end of days as US bombs Iran', 'Two biblical signs the world has entered the end of days as US bombs Iran']"
199,45,199_sought_replace_ghf_controversial,"['sought', 'replace', 'ghf', 'controversial', 'mulls', 'minerals', 'fortune', 'would', 'awaits', 'mineral']","['US mulls Gaza aid plan that would replace controversial GHF aid operation', 'US mulls Gaza aid plan that would replace controversial GHF aid operation', 'US mulls Gaza aid plan that would replace controversial GHF aid operation']"
200,44,200_ingratitude_geneva_mcguinty_seriou,"['ingratitude', 'geneva', 'mcguinty', 'seriou', 'contact', 'antalya', 'brokered', 'productive', 'accepts', 'hail']","['Trump Accuses Ukraine of Ingratitude As Officials Meet in Geneva on US Peace Plan', 'Trump Accuses Ukraine of Ingratitude As Officials Meet in Geneva on US Peace Plan', 'Trump Accuses Ukraine of Ingratitude As Officials Meet in Geneva on US Peace Plan']"
201,44,201_unconditionally_kim_unconditional_invariable,"['unconditionally', 'kim', 'unconditional', 'invariable', 'north', 'kcna', 'rewards', 'jong', 'korea', 'informed']","['North Korea Kim vows to  unconditionally  support Russia in war against Ukraine', 'North Korea Kim vows to  unconditionally  support Russia in war against Ukraine', 'North Korea Kim vows to  unconditionally  support Russia in war against Ukraine']"
202,44,202_port_reopening_swathes_blackouts,"['port', 'reopening', 'swathes', 'blackouts', 'conducts', 'drone', 'unleashes', 'wide', 'airport', 'khartoum']","['Sudan RSF conducts first drone attack on Port Sudan , says army', 'Sudan RSF conducts drone attack on Port Sudan , army says', 'Port Sudan hit by drone attack']"
203,44,203_partenariat_stratgique_liran_russie,"['partenariat', 'stratgique', 'liran', 'russie', 'accord', 'signent', 'attendue', 'stabilit', 'essentiel', 'renforcent']","['La Russie et lIran signent un accord de partenariat stratégique', 'La Russie et lIran signent un accord de partenariat stratégique', 'La Russie et lIran signent un accord de partenariat stratégique']"
204,44,204_restart_watchdog_path_seeking,"['restart', 'watchdog', 'path', 'seeking', 'nuclear', 'agreement', 'sign', 'co', 'cooperation', 'iran']","['Iran and nuclear watchdog sign agreement seeking path to restart cooperation', 'Iran and nuclear watchdog sign agreement seeking path to restart cooperation', 'Iran and nuclear watchdog sign agreement seeking path to restart cooperation']"
205,44,205_vietnam_substantive_vietnamplus_veterans,"['vietnam', 'substantive', 'vietnamplus', 'veterans', 'nurture', 'dialogues', 'movies', '50th', '50', 'beefing']","['Vietnam – Germany : 50 years of substantive cooperation | Vietnam+ ( VietnamPlus ) ', 'Vietnam – Germany : 50 years of substantive cooperation | Vietnam+ ( VietnamPlus ) ', 'Vietnam – Germany : 50 years of substantive cooperation | Vietnam+ ( VietnamPlus ) ']"
206,44,206_weekly_update_mexico_watch,"['weekly', 'update', 'mexico', 'watch', 'empty', 'overwhelmed', 'geostrategy', 'corporate', 'transformed', 'pirate']","['Weekly U . S .- Mexico Border Update : Massive funding bill , Alien Enemies Act , military missions , Venezuela TPS', 'How Trump secured nation in first 100 days after Biden  unsecured border on purpose  – World Tribune : U . S . Politics and Culture , Geostrategy , China , North Korea , Corporate Watch , Media Watch', 'How Trump secured nation in first 100 days after Biden  unsecured border on purpose  – World Tribune : U . S . Politics and Culture , Geostrategy , China , North Korea , Corporate Watch , Media Watch']"
207,44,207_iranians_tehran_100_deport,"['iranians', 'tehran', '100', 'deport', 'over', 'deal', 'with', 'us', 'in', 'to']","['US To Deport Over 100 Iranians In Deal With Tehran', 'US To Deport Over 100 Iranians In Deal With Tehran', 'US To Deport Over 100 Iranians In Deal With Tehran']"
208,44,208_earn_ticket_golden_stay,"['earn', 'ticket', 'golden', 'stay', 'right', 'refugees', 'starmer', 'have', 'no', 'will']","['Starmer : No  golden ticket  to united kingdom as refugees will have to earn right to stay', 'Starmer : No  golden ticket  to united kingdom as refugees will have to earn right to stay', 'Starmer : No  golden ticket  to united kingdom as refugees will have to earn right to stay']"
209,44,209_png_grail_genuinely_candace,"['png', 'grail', 'genuinely', 'candace', 'owens', 'australia', 'holy', 'barrow', 'loses', 'defence']","['  Holy grail : Australia and PNG to sign defence treaty', '  Holy grail : Australia and PNG to sign defence treaty', '  Holy grail : Australia and PNG to sign defence treaty']"
210,44,210_voluntary_honduras_sends_back,"['voluntary', 'honduras', 'sends', 'back', 'colombia', 'first', 'deportation', 'migrants', 'regardless', 'receive']","['US sends migrants back to Honduras and Colombia in first voluntary deportation', 'US sends migrants back to Honduras and Colombia in first voluntary deportation', 'US sends migrants back to Honduras and Colombia in first voluntary deportation']"
211,44,211_alongside_numbers_beijing_significant,"['alongside', 'numbers', 'beijing', 'significant', 'claim', 'rejects', 'chinese', 'troops', 'fighting', 'are']","['Beijing rejects Ukraine claim significant numbers of Chinese troops are fighting alongside Russia', 'Beijing rejects Ukraine claim significant numbers of Chinese troops are fighting alongside Russia', 'Beijing rejects Ukraine claim significant numbers of Chinese troops are fighting alongside Russia']"
212,44,212_baghdad_delivery_present_postponed,"['baghdad', 'delivery', 'present', 'postponed', 'eight', 'reject', 'skip', 'rejection', 'council', 'members']","['Arab Summit in Baghdad calls for urgent aid delivery to Gaza , condemns Israeli attacks on Syria', 'Arab Summit in Baghdad calls for urgent aid delivery to Gaza , condemns Israeli attacks on Syria', 'Arab Summit in Baghdad calls for urgent aid delivery to Gaza , condemns Israeli attacks on Syria']"
213,43,213_ethiopia_significantly_abiy_ghana,"['ethiopia', 'significantly', 'abiy', 'ghana', 'ali', 'counterpart', 'guyana', 'modi', 'showcases', 'ethiopian']","['PM Modi invites Ethiopian counterpart Abiy Ahmed Ali to AI Impact Summit , BRICS meet in India', 'PM Modi invites Ethiopian counterpart Abiy Ahmed Ali to AI Impact Summit , BRICS meet in India', 'PM Modi invites Ethiopian counterpart Abiy Ahmed Ali to AI Impact Summit , BRICS meet in India']"
214,43,214_answer_shifts_timeline_territorial,"['answer', 'shifts', 'timeline', 'territorial', 'budapest', 'history', 'translate', 'harbor', 'continuation', '107']","['A timeline of territorial shifts in Russia war on Ukraine', 'A timeline of territorial shifts in Russia war on Ukraine', 'A timeline of territorial shifts in Russia war on Ukraine']"
215,43,215_trkiye_goodness_cease_erdogan,"['trkiye', 'goodness', 'cease', 'erdogan', 'novinite', 'evacuates', 'erdoan', 'turkish', 'match', 'unloading']","['Türkiye 15th Gaza Goodness Ship delivers vital aid to Gaza', 'Unloading of Türkiye 17th  Goodness Ship  for Gaza completed', 'Unloading of Türkiye 17th  Goodness Ship  for Gaza completed']"
216,43,216_timeline_diwas_spilling_vijay,"['timeline', 'diwas', 'spilling', 'vijay', 'forged', 'took', 'shortest', 'history', 'combattimenti', 'combined']","['Vijay Diwas : The 1971 Pakistan war that forged India – Russia ties', 'Vijay Diwas : The 1971 Pakistan war that forged India – Russia ties', 'Vijay Diwas : The 1971 Pakistan war that forged India – Russia ties']"
217,43,217_tariffs_nicest_looking_guy,"['tariffs', 'nicest', 'looking', 'guy', 'levies', 'bite', 'crude', 'cent', 'autonomy', 'geopolitics']","['Is 50 per cent Trump tariffs testing India resolve ? US tariffs India , Quad , India US trade , Russian crude , Indo - Pacific , India strategic autonomy , geopolitics', 'Is 50 per cent Trump tariffs testing India resolve ? US tariffs India , Quad , India US trade , Russian crude , Indo - Pacific , India strategic autonomy , geopolitics', 'Is 50 per cent Trump tariffs testing India resolve ? US tariffs India , Quad , India US trade , Russian crude , Indo - Pacific , India strategic autonomy , geopolitics']"
218,43,218_six_hits_rocket_lebanon,"['six', 'hits', 'rocket', 'lebanon', 'back', 'arala', 'orleanstaki', 'abdli', 'orleans', 'mslmanlar']","['Six killed as Israel hits back at Lebanon after rocket attack', 'Six killed as Israel hits back at Lebanon after rocket attack', 'Six killed as Israel hits back at Lebanon after rocket attack']"
219,43,219_citizenship_germany_controls_prolong,"['citizenship', 'germany', 'controls', 'prolong', 'strict', 'clampdown', 'restrict', 'afd', 'reunions', 'vacancy']","['Germany to restrict family reunions , toughen citizenship rules', 'Will Germany Strict Immigration Rules Impact Indians ? Citizenship Criteria To Curbs Explained', 'Will Germany Strict Immigration Rules Impact Indians ? Citizenship Criteria To Curbs Explained']"
220,43,220_fixed_scheme_numbers_secretary,"['fixed', 'scheme', 'numbers', 'secretary', 'home', 'return', 'not', 'migrant', 'france', 'standard']","['France migrant return scheme numbers  not fixed , says Home Secretary', 'France migrant return scheme numbers  not fixed , says Home Secretary', 'France migrant return scheme numbers  not fixed , says Home Secretary']"
221,43,221_muslim_hague_supporter_seventy,"['muslim', 'hague', 'supporter', 'seventy', 'recognition', 'emotional', 'poll', 'recorder', 'overwhelmingly', 'frustration']","['Lammy rebuke of Israel marks turning point after weeks of growing frustration | Foreign policy', 'North American Muslim delegation visits Israel , signs Jewish – Muslim reconciliation de', 'North American Muslim delegation visits Israel , signs Jewish – Muslim reconciliation de']"
222,43,222_expanded_75_crossings_drop,"['expanded', '75', 'crossings', 'drop', 'channel', 'could', 'report', 'france', 'by', 'kingdom']","['Channel crossings could drop by 75 % with expanded united kingdom - France deal – report', 'Channel crossings could drop by 75 % with expanded united kingdom - France deal – report', 'Channel crossings could drop by 75 % with expanded united kingdom - France deal – report']"
223,43,223_remove_temporarily_honduran_immigrant,"['remove', 'temporarily', 'honduran', 'immigrant', 'blocks', 'effort', 'guatemalan', 'dozens', 'judge', 'children']","['Judge temporarily blocks US effort to remove dozens of immigrant Guatemalan and Honduran children', 'Judge temporarily blocks US effort to remove dozens of immigrant Guatemalan and Honduran children', 'Judge temporarily blocks US effort to remove dozens of immigrant Guatemalan and Honduran children']"
224,42,224_administracija_jav_ukrainiei_trumpo,"['administracija', 'jav', 'ukrainiei', 'trumpo', 'iniasklaida', 'deportavo', 'iraniei', 'planus', 'deportuoti', 'ne']","['JAV žiniasklaida : D . Trumpo administracija rengia planus ukrainiečių deportacijai', 'JAV žiniasklaida : D . Trumpo administracija ruošiasi deportuoti šimtus tūkstančių ukrainiečių', 'JAV žiniasklaida : D . Trumpo administracija ruošiasi deportuoti šimtus tūkstančių ukrainiečių']"
225,42,225_68_1st_voluntary_sent,"['68', '1st', 'voluntary', 'sent', 'flight', 'honduras', 'colombia', 'deportation', '105', 'wjmx']","['68 Migrants Sent To Honduras , Colombia In 1st Voluntary Deportation Flight', '68 Migrants Sent To Honduras , Colombia In 1st Voluntary Deportation Flight', '68 Migrants Sent To Honduras , Colombia In 1st Voluntary Deportation Flight']"
226,42,226_hospital_periodistas_nasser_israeles,"['hospital', 'periodistas', 'nasser', 'israeles', 'jornalistas', 'periodista', 'ataque', 'ataques', 'matan', 'personas']","['Dos ataques israelíes contra el hospital Nasser en Gaza matan al menos a 20 personas , entre ellas cinco periodistas', 'Periodistas muertos en ataque israelí a hospital en Gaza', 'Periodistas muertos en ataque israelí a hospital en Gaza']"
227,42,227_russians_alongside_number_significant,"['russians', 'alongside', 'number', 'significant', 'claim', 'rejects', 'troops', 'fighting', 'amount', 'macau']","['China rejects claim  significant  number of troops fighting alongside Russians', 'China rejects claim  significant  number of troops fighting alongside Russians', 'China rejects claim  significant  number of troops fighting alongside Russians']"
228,42,228_intolerant_yousaf_scotland_becoming,"['intolerant', 'yousaf', 'scotland', 'becoming', 'debate', 'warns', 'more', 'immigration', 'amid', '']","['Scotland becoming more intolerant amid immigration debate , warns Yousaf', 'Scotland becoming more intolerant amid immigration debate , warns Yousaf', 'Scotland becoming more intolerant amid immigration debate , warns Yousaf']"
229,42,229_negotiate_maximum_carney_insistence,"['negotiate', 'maximum', 'carney', 'insistence', 'timely', 'anchorage', 'place', 'dublin', 'neutral', 'put']","['Zelenskyy says Ukraine willing to negotiate with Russia if ceasefire put in place', 'Zelenskyy says Ukraine willing to negotiate with Russia if ceasefire put in place', 'Zelenskyy says Ukraine willing to negotiate with Russia if ceasefire put in place']"
230,42,230_denmark_shake_looks_system,"['denmark', 'shake', 'looks', 'system', 'antoni', 'stringent', 'lallican', 'copy', 'photographe', 'photographes']","['UK looks to Denmark to shake up immigration system', 'UK looks to Denmark to shake up immigration system', 'UK looks to Denmark to shake up immigration system']"
231,42,231_brighter_nigeria_tanzania_joining,"['brighter', 'nigeria', 'tanzania', 'joining', 'align', 'hands', 'initiatives', 'devt', '48bn', 'exported']","['China and Nigeria joining hands for a brighter future', 'China and Nigeria Joining Hands for a Brighter Future - Tanzania News Reports', 'China and Nigeria Joining Hands for a Brighter Future - Tanzania News Reports']"
232,42,232_armoured_vehicles_2b_package,"['armoured', 'vehicles', '2b', 'package', 'part', 'drones', 'canada', 'mln', 'cad', 'prosthetics']","['Drones , armoured vehicles part of Canada $2B military aid package for Ukraine', 'Drones , armoured vehicles part of Canada $2B military aid package for Ukraine', 'Drones , armoured vehicles part of Canada $2B military aid package for Ukraine']"
233,42,233_cyclone_ditwah_sri_lanka,"['cyclone', 'ditwah', 'sri', 'lanka', 'lankan', 'sabry', 'template', 'barbs', 'assistance', 'provides']","['Cyclone Ditwah : US provides immediate USD 2 million emergency assistance to Sri Lanka', 'Cyclone Ditwah : India ramps up aid to Sri Lanka', 'Cyclone Ditwah : India ramps up aid to Sri Lanka']"
234,42,234_mauritius_mahasagar_680_pacts,"['mauritius', 'mahasagar', '680', 'pacts', 'enhanced', 'ramful', 'maldives', 'ink', 'vision', 'ior']","['India , Mauritius ink pacts on trade and security , Modi unveils MAHASAGAR vision', 'India - Mauritius Partnership : भविष्य की ओर बढ़ती भारत - मॉरीशस साझेदारी', 'India - Mauritius Partnership : भविष्य की ओर बढ़ती भारत - मॉरीशस साझेदारी']"
235,42,235_asif_khawaja_bla_balochistan,"['asif', 'khawaja', 'bla', 'balochistan', 'ttp', 'dirty', 'naval', 'audience', 'acres', 'wi']","['Khawaja Asif Pakistan India Taliban , भारत हमें दो फ्रंट पर उलझाए रखना चाहता है ... पाकिस्तानी रक्षा मंत्री का डर आ गया सामने , बताया कैसे घिर रहा पाकिस्तान - india want to engage in conflict of pakistan on two front says khawaja asif amid tension wi...', 'Khawaja Asif Pakistan India Taliban , भारत हमें दो फ्रंट पर उलझाए रखना चाहता है ... पाकिस्तानी रक्षा मंत्री का डर आ गया सामने , बताया कैसे घिर रहा पाकिस्तान - india want to engage in conflict of pakistan on two front says khawaja asif amid tension wi...', 'Khawaja Asif Pakistan India Taliban , भारत हमें दो फ्रंट पर उलझाए रखना चाहता है ... पाकिस्तानी रक्षा मंत्री का डर आ गया सामने , बताया कैसे घिर रहा पाकिस्तान - india want to engage in conflict of pakistan on two front says khawaja asif amid tension wi...']"
236,41,236_fasher_blood_sounds_worsening,"['fasher', 'blood', 'sounds', 'worsening', 'alarm', 'trk', 'atrocities', 'sand', 'gravely', 'fall']","['UN Chief raises alarm over worsening crisis in El Fasher , Sudan', 'UN chief sounds alarm over worsening crisis in Sudan El Fasher Global Issues', 'UN Chief Sounds Alarm Over Worsening Crisis In Sudan El Fasher']"
237,41,237_reconnatre_dtermine_tat_laustralie,"['reconnatre', 'dtermine', 'tat', 'laustralie', 'palestine', 'letat', 'rapidement', 'toujours', 'va', 'orient']","['LAustralie va reconnaître lEtat de Palestine', 'LAustralie va reconnaître lEtat de Palestine', 'LAustralie va reconnaître lEtat de Palestine']"
238,41,238_urusi_vita_ya_vya,"['urusi', 'vita', 'ya', 'vya', 'kwa', 'wa', 'dw', 'kijeshi', 'raia', '04']","['China yaonya raia wake kuepuka maeneo ya vita Ukraine – DW – 09 . 04 . 2025', 'Vikosi vya kijeshi vya Ukraine na Urusi vyaendelea kupambana – DW – 06 . 01 . 2025', 'Vikosi vya kijeshi vya Ukraine na Urusi vyaendelea kupambana – DW – 06 . 01 . 2025']"
239,41,239_authorize_sale_prepares_weapons,"['authorize', 'sale', 'prepares', 'weapons', 'minerals', 'following', '24th', 'eadaily', 'purchase', 'deal']","['US prepares to authorize weapons sale to Ukraine following minerals deal', 'US prepares to authorize weapons sale to Ukraine following minerals deal', 'US prepares to authorize weapons sale to Ukraine following minerals deal']"
240,41,240_hostage_emily_damari_release,"['hostage', 'emily', 'damari', 'release', 'gonen', 'steinbrecher', 'romi', 'doron', 'hostages', 'released']","['Gaza ceasefire begins after delay as Hamas names hostages to be released Sunday : Romi Gonen , Emily Damari , Doron Steinbrecher', 'Gaza ceasefire begins after delay as Hamas names hostages to be released Sunday : Romi Gonen , Emily Damari , Doron Steinbrecher', 'Gaza ceasefire begins after delay as Hamas names hostages to be released Sunday : Romi Gonen , Emily Damari , Doron Steinbrecher']"
241,41,241_diplomatie_pologne_historique_trait,"['diplomatie', 'pologne', 'historique', 'trait', 'donne', 'printemps', 'signature', 'rendez', 'sera', 'nancy']","['Diplomatie . France - Pologne : Emmanuel Macron donne rendez - vous pour la signature dun traité historique', 'Diplomatie . France - Pologne : Emmanuel Macron donne rendez - vous pour la signature dun traité historique', 'Diplomatie . France - Pologne : Emmanuel Macron donne rendez - vous pour la signature dun traité historique']"
242,41,242_scotland_yousaf_intolerant_becoming,"['scotland', 'yousaf', 'intolerant', 'becoming', 'debate', 'warns', 'more', 'immigration', 'amid', 'tolerant']","['Scotland becoming more intolerant amid immigration debate , warns Yousaf', 'Scotland becoming more intolerant amid immigration debate , warns Yousaf', 'Scotland becoming more intolerant amid immigration debate , warns Yousaf']"
243,41,243_prospect_trip_raises_proceed,"['prospect', 'trip', 'raises', 'proceed', 'arabia', 'saudi', 'nuclear', 'highest', 'decades', 'sidestepping']","['Trump trip to Saudi Arabia raises the prospect of US nuclear cooperation with the kingdom', 'Trump trip to Saudi Arabia raises the prospect of US nuclear cooperation with the kingdom', 'Trump trip to Saudi Arabia raises the prospect of US nuclear cooperation with the kingdom']"
244,41,244_mercenaries_pakistani_zelenskyy_fighting,"['mercenaries', 'pakistani', 'zelenskyy', 'fighting', 'chinese', 'president', 'wagner', 'africa', 'volodymyr', 'corps']","['Ukraine President Zelenskyy says Pakistani , Chinese mercenaries fighting for Russia', 'Ukraine President Zelenskyy says Pakistani , Chinese mercenaries fighting for Russia', 'Ukraine President Zelenskyy says Pakistani , Chinese mercenaries fighting for Russia']"
245,41,245_package_provide_us500_slovenian,"['package', 'provide', 'us500', 'slovenian', '7a', 'wedgetail', 'finland', 'magazine', 'eur', 'sweden']","['E - 7A Wedgetail Ukraine concludes deployment - Australian Defence Magazine', 'E - 7A Wedgetail Ukraine concludes deployment - Australian Defence Magazine', 'E - 7A Wedgetail Ukraine concludes deployment - Australian Defence Magazine']"
246,41,246_toughening_kremlin_residence_stance,"['toughening', 'kremlin', 'residence', 'stance', 'haunts', 'mediate', 'expels', 'delusional', 'standoff', 'disrupt']","['Kremlin Says Russia Is Toughening Its Stance on Ukraine After Drone Attack', 'Kremlin says Russia is toughening its stance on Ukraine after drone attack', 'Kremlin says Russia is toughening its stance on Ukraine after drone attack']"
247,41,247_proud_monks_thanked_credits,"['proud', 'monks', 'thanked', 'credits', 'context', 'cambodia', 'misrepresentations', 'credit', 'thailand', 'stays']","['Monks thanked Trump for role in peace talks between Cambodia and Thailand . Here context', 'Fact Check : Monks thanked Trump for role in peace talks between Cambodia and Thailand . Here context', 'Fact Check : Monks thanked Trump for role in peace talks between Cambodia and Thailand . Here context']"
248,41,248_implications_assess_saudi_pact,"['implications', 'assess', 'saudi', 'pact', 'gid', 'atom', 'isi', 'tilted', 'arabia', 'cruise']","['India to Assess Implications of Pakistan - Saudi Arabia Pact', 'India to Assess Implications of Pakistan - Saudi Arabia Pact', 'India to Assess Implications of Pakistan - Saudi Arabia Pact']"
249,40,249_capitals_drone_rostov_swapped,"['capitals', 'drone', 'rostov', 'swapped', 'swap', 'prisoner', 'four', '170', 'missile', 'persons']","['Russia , Ukraine trade drone fire at capitals amid prisoner swap', 'Russia , Ukraine trade drone fire at capitals amid prisoner swap', 'Russia , Ukraine Trade Drone Fire At Capitals Amid Prisoner Swap']"
